id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
7F4pBnbkKg3tFXg0s5h5sZ,0.903,0.247,11,-4.885,1,0.0487,0.00887,4.25e-05,0.607,0.296,74.483,254760,4,live
4hIZTvJEgzXQDCpwLT9Ok1,0.778,0.41,5,-8.069,0,0.0419,0.000114,0.0332,0.766,0.278,125.437,221427,4,live
5LRPFZnbD0Hf9Tt6UpFK4J,0.585,0.42,11,-12.962,0,0.357,0.724,0,0.988,0.539,128.052,292947,4,live
0UnEALVjs34JuBirjOzA65,0.798,0.299,4,-13.078,0,0.0425,9.58e-05,0.00189,0.762,0.501,115.797,108867,4,live
6Y2jf7dYFSPxpoH1KABMbS,0.814,0.322,0,-8.398,0,0.0845,0.0244,0.0161,0.792,0.334,127.161,351140,4,live
5CsX0OQX0wRV0VaptJ4lEP,0.727,0.366,4,-10.124,1,0.11,0.212,0.407,0.694,0.583,93.373,260628,4,live
0360Vuwcehtl3pAqVlPuXa,0.89,0.503,0,-7.958,1,0.0742,0.398,0,0.75,0.662,92.448,306680,4,live
7MjPAdHoRmRoiTKi1PXyMk,0.695,0.341,1,-8.599,1,0.037,0.00884,0.0928,0.738,0.139,114.49,218663,4,live
6nAjz8397eAov3rtPx0z43,0.918,0.306,2,-7.615,1,0.104,0.00017,0.00655,0.862,0.504,133.739,429427,4,live
2x2NfvKP47YdNxySl2DjVt,0.607,0.581,0,-7.642,1,0.0529,0.19,0,0.971,0.766,132.607,172067,4,live
1xesGR21R5gkfzWoaiPp7s,0.645,0.56,0,-8.942,1,0.0542,0.169,0,0.304,0.701,134.066,174932,4,live
69lcCv2n5GyZyAtzbLuG2N,0.528,0.42,4,-11.906,1,0.0324,0.385,0,0.742,0.516,121.506,341467,4,live
5NCT0EmBPB52uOMNB8I2OX,0.944,0.344,0,-7.289,1,0.126,0.000417,1.63e-06,0.687,0.22,154.232,155880,4,live
5gBIDzjs9bdZ1z8ZBGFzrv,0.321,0.419,9,-10.686,1,0.0294,0.356,0.0636,0.972,0.146,156.408,234440,3,live
4QjnpnbbD12xV42ErUAvpC,0.68,0.184,7,-7.854,1,0.0391,0.00566,0.003,0.959,0.303,76.444,249053,4,live
5ZdXS959exBiOfSC25U4ek,0.701,0.354,2,-6.42,0,0.0524,0.26,5.49e-05,0.753,0.661,181.562,250120,3,live
7cRRrFWHzUozebHzVllnIh,0.307,0.388,9,-13.165,1,0.064,0.333,9.72e-06,0.64,0.175,104.892,250747,3,live
5475cBaiwArWtN5z22ziom,0.989,0.175,2,-5.049,1,0.0942,0.000531,0.00702,0.321,0.162,158.175,323693,4,live
0fPtQhtZm1p9IwcpZ3ARw1,0.867,0.53,9,-4.397,0,0.0358,0.00529,0.000165,0.316,0.557,119.642,289493,4,live
7pfeIblSEn4vJB2xfmuSjy,0.179,0.57,0,-20.178,0,0.0387,0.916,0.000217,0.908,0.417,138.183,236000,4,live
51fKZ6fkcNkjrcXpeuNJkv,0.963,0.219,4,-5.604,0,0.263,0.00252,0.0159,0.979,0.264,166.549,370253,4,live
1L9TAL5yadftODoqAOBP45,0.939,0.372,0,-6.807,0,0.0317,0.236,1.34e-05,0.869,0.704,143.871,251800,4,live
4Ue7pYDq0vi3u5Lptn36om,0.459,0.484,9,-10.176,0,0.171,0.307,0.00186,0.886,0.455,68.372,309680,4,live
6AkIGtaVYaAV9cH7nij7Ik,0.643,0.473,5,-11.077,1,0.0347,0.492,0.00135,0.711,0.321,142.245,414160,4,live
0jxLSTZgZMKz4YVjhUQI8J,0.448,0.549,6,-8.209,1,0.035,0.547,0.0298,0.85,0.404,134.805,195960,4,live
5i2jVYJ1bxoMipa5eoNWVM,0.853,0.565,1,-8.097,1,0.244,0.499,0,0.672,0.88,117.248,102933,4,live
6BZFeMHjTzzNLwJGirNDzJ,0.277,0.361,10,-17.33,0,0.0536,0.883,6.19e-06,0.628,0.161,103.923,555133,3,live
58thlEaWWLRVVLPs35g7aJ,0.975,0.335,7,-7.066,1,0.0628,0.0224,0.0228,0.941,0.806,92.292,141000,4,live
6SGWeFkVZ0FGQdPUwf4MF3,0.928,0.61,10,-6.52,0,0.0596,0.00778,0.188,0.94,0.456,93.927,338427,4,live
20SgGzey57sSXEAJHG9fcU,0.526,0.524,7,-10.15,1,0.0325,0.392,0.00114,0.631,0.446,116.626,308707,4,live
0izmGVy9X7JVY3Eh44s84B,0.716,0.523,0,-7.113,1,0.0431,0.134,0.000243,0.988,0.222,98.619,393147,4,live
4tgq9GOYE8Mr3JzZvDVC2l,0.832,0.602,6,-7.068,1,0.157,0.0655,0.019,0.142,0.52,129.33,223267,4,live
3BAOKbnbpcF76YFTZGZbEV,0.806,0.635,10,-5.109,1,0.0936,0.0362,0,0.818,0.846,115.996,160916,4,live
